tag,time,alt,range,V,Vz,LD,pDOH,eff_p
cruiseToAlternate,37.801,3000,5250.564,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.564,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
holding,60,3000,0,97.23,0,17,0,0.8
