tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,17186.238803064538,14.908531800220691,0.0,0.1560997467600865,0.02129347352118142,11550,5000,0.3333062978061837,1616444.011642258,4849725.379573277
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,17171.342485184097,14.896317880441092,0.0,0.15586444337992528,0.021401615294619133,11550,5000,0.33333021410763813,1615043.0116693082,4845174.374585145
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,17156.458383061694,14.884102122401734,0.0,0.15562928077462734,0.021509567353333117,11550,5000,0.3333542378998889,1613643.1594754637,4840625.904867195
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,17141.586498490316,14.871884571379185,0.0,0.1553942598943675,0.02161732920535343,11550,5000,0.3333783686326643,1612244.4552334698,4836079.982771572
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,17126.72683321744,14.85966527287748,0.0,0.1551593816910902,0.02172490035975078,11550,5000,0.3334026057508056,1610846.8991118204,4831536.620670002
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,17111.879388944813,14.847444272626982,0.0,0.15492464711847023,0.021832280326666533,11550,5000,0.3334269486944602,1609450.4912747298,4826995.830950572
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,17097.044167328233,14.83522161658148,0.0,0.15469005713183984,0.02193946861735862,11550,5000,0.3334513968989419,1608055.2318821177,4822457.626019381
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,17082.221169977318,14.822997350916065,0.0,0.15445561268813085,0.022046464744239845,11550,5000,0.3334759497948437,1606661.1210895833,4817922.018298502
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,17067.410398455293,14.810771522024625,0.0,0.15422131474581002,0.02215326822091941,11550,5000,0.33350060680814947,1605268.1590483878,4813389.020223999
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,17052.611854278777,14.798544176517568,0.0,0.15398716426481862,0.022259878562242413,11550,5000,0.33352536736012156,1603876.3459054325,4808858.644247167
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,17037.825538917557,14.786315361219067,0.0,0.15375316220650354,0.022366295284332743,11550,5000,0.3335502308674737,1602485.681803238,4804330.902831659
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,17023.051453794393,14.774085123164957,0.0,0.15351930953356024,0.022472517904630795,11550,5000,0.3335751967423262,1601096.1668799252,4799805.808453766
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,17008.289600284792,14.761853509599609,0.0,0.15328560720995765,0.022578545941938973,11550,5000,0.3336002643922991,1599707.8012691948,4795283.373600716
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,16993.539979716817,14.74962056797421,0.0,0.1530520562008892,0.022684378916455097,11550,5000,0.33362543322051624,1598320.5851003076,4790763.610770245
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,16978.802593370874,14.737386345943277,0.0,0.15281865747269044,0.022790016349821154,11550,5000,0.3336507026257025,1596934.5184980656,4786246.532468854
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,16964.07744247951,14.725150891363455,0.0,0.1525854119928011,0.022895457765151173,11550,5000,0.3336760720021176,1595549.6015827928,4781732.15121241
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,16949.36452822722,14.712914252289133,0.0,0.15235232072966604,0.02300070268708727,11550,5000,0.3337015407397758,1594165.834470315,4777220.479522638
